PROCESSOS - CONSELHO DE TRANSFORMAÇÃO DIGITAL,,,,,,,,,"R$ 1.030.247.955,41",,,,,,"R$ 428.862.865,16",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVIDêNCIAS,ID,DATA RECEB CTD,PROCESSO,ÓRGÃO,OBJETO,CATEGORIAS DA DEMANDA,SUB-CATEGORIA PRINCIPAL,MODALIDADE DE CONTRATAÇÃO,VALOR SOLICITADO,RESPONSÁVEL FICHA TÉCNICA,STATUS DA FICHA (TÉCNICOS),CATEGORIA VALOR,REUNIÃO CTD,STATUS DELIBERAÇÃO CONSELHO ou COMITÊ,VALOR APROVADO,TEM NO DOE?,VALOR CONTRATADO,DATA CONTRATAÇÃO,FORMA DE EXECUÇÃO,VIGÊNCIA DA CONTRATAÇÃO,COMPROMISSO DE GOVERNO ,MARCO TEMPORAL,OBSERVAÇÃO GOVERNADOR,OBSERVAÇÕES  SIA,Coluna 1,Coluna 2,RENOVAÇÃO,CONTRATO,VALOR MENSAL PAGO,PLANO ESTRATÉGICO,SISTEMA (TIPO),INFRAESTRUTURA E EQUIPAMENTOS (TIPO),CONSULTORIA / OUTROS SERVIÇOS de TIC,CONCLUSÃO TÉCNICA DA FICHA,DESPACHO DECISÓRIO COMITÊ (ABAIXO DE 600MIL),DESPACHO AD REFEREDUM (ACIMA DE 600 MIL),OBSERVAÇÕES REUNIÃO,OBSERVAÇÕES,REUNIÃO - DATA,PONTO DE PAUTA NA REUNIÃO
,DCT44,11/12/2024,00017.001238/2024-59,SEPLAN,"Contratação de empresa especializada na prestação de serviços de fornecimento e implantação de licença ""Bitrix24 Enterprise Anual""",SISTEMA,Novo Sistema / Licença,Contratação Direta (Dispensa),"R$ 32.987,28",ETIPI,CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 27.978,00",,"R$ 27.978,00",30/05/2025,Contratação de Pessoa Jurídica,12M,CG-125 ,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO TRANSVERSAL 4 ,Licença,,,,,,,,A DEFINIR,
,DCT46,12/12/2024,00003.007873/2024-07,PGE,Desenvolvimento das funcionalidades e suporte integral para o Sistema Príncipe,SISTEMA,Sistema Existente / ETIPI,Contratação Direta (Dispensa) - ETIPI,"R$ 1.242.885,00",SEAD,CONCLUÍDO,ACIMA 600 MIL,06/01/2025,APROVADO,"R$ 1.242.885,00",,,,ETIPI,12M,NÃO,DEPOIS DO COMITÊ,,,,,NÃO,,,DIRETRIZ DO PDTI DA PGE-PI DE TRANSFORMAÇÃO DIGITAL PARA O GANHO DE EFICIÊNCIA NA REPRESENTAÇÃO JUDICIAL DA ADMINISTRAÇÃO PÚBLICA DO ESTADO DO PIAUÍ,Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação),,,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,,,,,06/01/2025,
,DCT45,12/12/2024,00002.003461/2024-08,SEAD,Contratação de uma empresa especializada para o fornecimento de licenças para capacitação no curso Full Cycle.,SISTEMA,Novo Sistema / Licença,Contratação Direta (Dispensa),"R$ 66.378,00",SEAD,CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 66.378,00",,,,Contratação de Pessoa Jurídica,24M,NÃO,DEPOIS DO COMITÊ,,,,,,,,EIXO TRANSVERSAL 3,Licença,,,,,,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT47,12/12/2024,00317.000749/2024-79,SEAGRO,"Contratação de assinatura anual de empresa especializada na prestação de serviço de disponibilização de acesso a banco de dados especifico, com informações atualizadas de preços praticados no mercado",SISTEMA,Sistema Existente/ Assinatura,Contratação Direta (Inexigibilidade),"R$ 14.960,00",ETIPI,CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 14.960,00",,,não formalizado,Contratação de Pessoa Jurídica,12M,CG-017,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO ESTRATÉGICO 1 ,Assinatura,,,,,,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT48,16/12/2024,00002.009762/2024-37,SEAD,"Contratação de empresa especializada para a prestação de serviços de implantação de ambiente Data Center Modular Outdoor denominado “DATA CENTER” e seus subsistemas, com fornecimento de equipamentos e materiais","INFRAESTRUTURA E EQUIPAMENTOS DE TIC, CONSULTORIA E SERVIÇOS DE TIC",Hiperconvergência,"Operação de Crédito (BID, BIRD, etc)","R$ 8.975.350,00",SEAD,CONCLUÍDO,ACIMA 600 MIL,06/01/2025,APROVADO,"R$ 8.975.350,00",,,,Contratação de Pessoa Jurídica,36M,CG-141 ,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO TRANSVERSAL 3 ,,"Hospedagem de Sistemas, Infraestrutura de TIC, Materiais e Equipamentos de TIC",Outros serviços técnicos especializados;,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,,,,,06/01/2025,
,DCT49,16/12/2024,00002.003285/2024-04,SEAD,"Contratação de empresa especializada para fornecimento de produtos de informática, quais sejam: Workstation Dual Processada (processador XEON Gold 5416S), No-BREAK 3.2 KVA, e Workstation Movel",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Equipamentos de TIC,"Operação de Crédito (BID, BIRD, etc)","R$ 7.995.660,00",SEAD,CONCLUÍDO,ACIMA 600 MIL,06/01/2025,APROVADO,"R$ 7.995.660,00",,,,Contratação de Pessoa Jurídica,12M,CG-083,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO TRANSVERSAL 3 ,,Materiais e Equipamentos de TIC,,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,,,,"Vários itens: 
""Workstation Dual Processada 
(processador XEON Gold 5416S) ""
Workstation Móvel 
No-BREAK 3.2 KVA",06/01/2025,
,DCT49,16/12/2024,00030.029653/2024-07        ,DETRAN,"Contratação de solução digital, relativo à prestação de serviços técnicos de implantação de sistema de apoio aos processos de infrações de trânsito e serviços tecnológicos aos processos administrativos de fiscalização com ênfase no Talonário Eletrônico. ",SISTEMA,Novo Sistema / Contratação de Pessoa Jurídica,Pregão Eletrônico,"R$ 1.044.950,00",ETIPI,CONCLUÍDO,ACIMA 600 MIL,06/01/2025,APROVADO,"R$ 1.044.950,00",,,,Contratação de Pessoa Jurídica,12M,CG-005,DEPOIS DO COMITÊ,*Encaminhado para ETIPI para possibilidade de aditivar o contrato*,*Encaminhado para ETIPI para possibilidade de aditivar o contrato*,,,NÃO,NÃO,NÃO,EIXO ESTRATÉGICO 2 ,Desenvolvimento (Novo Sistema),,,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,,,,,06/01/2025,
,DCT51,19/12/2024,00027.008320/2024-95,SSP,"Contratação de solução para obter, organizar, tratar, correlacionar e identificar padrões nos dados de ocorrência criminal de roubos e furtos de veículos que possam balizar decisões estratégicas da SSP-PI, utilizando-se de técnicas de Internet das Coisas (IoT) e de Inteligência Artificial (IA), de forma a otimizar os serviços prestados à sociedade.","SISTEMA, CONSULTORIA E SERVIÇOS DE TIC",Consultoria / Inteligência Artificial,Contratação Direta (Dispensa) - FADEX,"R$ 531.300,00",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 531.300,00",,"R$ 531.300,00",31/01/2025,FADEX,12M,CG-171,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO ESTRATÉGICO 2 ,Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação),,Outros serviços técnicos especializados;,,,,,"Vários itens: Auxílio financeiro a estudantes (33.90.18)				
Bolsistas de graduação (10 x 12 meses)	1.1	120	R$ 1.300,00	R$ 156.000,00
Bolsistas de Mestrado (2 x 12 meses)	1.2	24	R$ 2.500,00	R$ 60.000,00
Bolsista de Doutorado (2 x 12 meses)	1.3	24	R$ 3.500,00	R$ 84.000,00
Auxílio financeiro a pesquisadores (33.90.20)				
Coordenador	2.1	12	R$ 6.000,00	R$ 72.000,00
Coordenador Adjunto	2.2	12	R$ 4.000,00	R$ 48.000,00
Pesquisador Doutor	2.3	12	R$ 3.500,00	R$ 42.000,00
Outros serviços de terceiros - Pessoa jurídica (33.90.39)				
Despesas operacionais administrativas	3.1	1	R$ 69.300,00	R$ 69.300,00",A DEFINIR,
,DCT67,26/12/2024,00011.045644/2024-83,SEDUC,Contratação de licenças Google Workspace for Education Plus pela Secretaria de Estado da Educação do Piauí ,SISTEMA,Novo Sistema / Assinatura,Contratação Direta (Dispensa) - ETIPI,"R$ 5.791.310,74",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,06/01/2025,APROVADO,"R$ 5.791.310,74",,"R$ 5.791.310,74",27/12/2024,ETIPI,12M,CG-075,DEPOIS DO COMITÊ,,,,,,,,EIXO ESTRATÉGICO 2 ,"Licença, Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação)",,Outros serviços técnicos especializados;,SUGERE DEFERIMENTO,,Decisão AD REFERENDUM,,,A DEFINIR,
,DCT69,06/01/2025,00012.034880/2024-64,SESAPI,"Contratação de empresa especializada em serviços de natureza singular e exclusiva, visando o desenvolvimento de plataforma de gerenciamento e treinamento dos estabelecimentos assistenciais de saúde (eas) que compõem a linha de hipertensão arterial e diabetes no âmbito do programa mais saúde Piauí","SISTEMA, CONSULTORIA E SERVIÇOS DE TIC",Novo Sistema / Contratação de Pessoa Jurídica,Pregão Eletrônico,"R$ 41.370.082,96",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,26/03/2025,APROVADO,"R$ 41.370.082,96",,,,Contratação de Pessoa Jurídica,12M,CG-111,DEPOIS DO COMITÊ,,AD REFERENDUM,,,NÃO,,,EIXO ESTRATÉGICO 2 ,Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação),,Outros serviços técnicos especializados;,SUGERE DEFERIMENTO,,SIM,,,A DEFINIR,
"Processo cancelado p/ ser contratado por operação de crédito, processo novo: sei 00012.027842/2025-36",DCT67,06/01/2025,00012.052916/2024-91,SESAPI,"Contratação de empresa especializada no rastreamento de Câncer de Pulmão (CP) e Câncer Colorretal (CCR), incluindo treinamento de profissionais da Atenção Básica, consultas e monitoramento dos pacientes nos 12 Territórios do Estado do Piauí, para atender as demandas da Secretaria de Estado da Saúde do Piauí",SISTEMA,Novo Sistema / Contratação de Pessoa Jurídica,Pregão Eletrônico,"R$ 26.100.000,00",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,26/03/2025,CANCELADO,"R$ 26.100.000,00",,,,Contratação de Pessoa Jurídica,12M,CG-111,DEPOIS DO COMITÊ,Gov pontuou que 90% desse custo é com pessoal e não com tecnologia,,,,,,,EIXO ESTRATÉGICO 2,"Licença, Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação)",,Outros serviços técnicos especializados;,,,,,,A DEFINIR,
,DCT68,06/01/2025,00012.053833/2024-10,SESAPI,"Contratação de empresa especializada em gestão e tecnologia para a Linha de Cuidado em Psiquiatria, incluindo o treinamento de profissionais das unidades de urgência e emergência e clínica médica nos hospitais estaduais do Piauí",SISTEMA,Novo Sistema / Contratação de Pessoa Jurídica,Pregão Eletrônico,"R$ 20.400.000,00",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,17/06/2025,APROVADO,"R$ 20.400.000,00",,,,Contratação de Pessoa Jurídica,12M,CG-111,DEPOIS DO COMITÊ,,,,,,,,EIXO ESTRATÉGICO 2,"Licença, Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação)",,Outros serviços técnicos especializados;,,,,,,A DEFINIR,
,DCT70,06/01/2025,00002.001000/2024-92,SEAD,"Contratação da ETIPI  em serviços de infraestrutura com manutenção corretiva, manutenção preventiva, desinstalações, remanejamentos e execução de implementação de rede PON (Rede Óptica Passiva) lógica e elétrica, com fornecimento de materiais, mediante contrato, conforme especificações constantes neste termo de referência.",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Comunicação de dados,Contratação Direta (Dispensa) - ETIPI,"R$ 5.853.669,66",SEAD,CONCLUÍDO,ACIMA 600 MIL,06/01/2025,APROVADO,"R$ 1.194.912,40",,,,ETIPI,3M,CG-141 ,DEPOIS DO COMITÊ,* Devolvido para redimensionamento do projeto * Foi aprovado após redimensionamento,* Devolvido para redimensionamento do projeto * Foi aprovado após redimensionamento,,,NÃO,,,EIXO TRANSVERSAL 3 ,,Infraestrutura de TIC,,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,,,,,06/01/2025,
,DCT71,07/01/2025,00027.005370/2024-11,SSP,Aquisição de uma nova licença de 4 (quatro) anos para acesso simultâneo no servidor Mercure devido a proximidade do termo final da licença já existente e a necessidade de dar continuidade aos trabalhos já realizados pela Diretoria de Inteligência Estratégica – DINTE,"SISTEMA, CONSULTORIA E SERVIÇOS DE TIC",Sistema Existente/ Licença,Contratação Direta (Inexigibilidade),"R$ 200.000,00",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 200.000,00",,,não formalizado ,Contratação de Pessoa Jurídica,48M,CG-171,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO ESTRATÉGICO 2 - Melhoria da qualidade dos serviços públicos,Licença,,Outros serviços técnicos especializados;,,,,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
AD REFERENDUM,DCT60,14/01/2025,00117.002978/2025-65,ETIPI,"Solicitação de acréscimo de 25% ao valor do Contrato de Consumo nº 01/2024, firmado entre a ETIPI e a GWCLOUD que tem por objeto a integração dos serviços do provedor da Amazon Web Services — AWS, incluindo serviços especializados de gerenciamento, orquestração da nuvem, sustentação emergencial e administração dos projeto",CONSULTORIA E SERVIÇOS DE TIC,Serviços / Nuvem,Contratação Direta (Dispensa) - ETIPI,"R$ 2.970.048,28",NÃO SE APLICA,NÃO INICIADO,ACIMA 600 MIL,PRÓXIMA (A CONFIRMAR),APROVADO,,,,,ETIPI,12M,CG-083,DEPOIS DO COMITÊ,,,,,,,,,,,,,,,,,,
,DCT72,22/01/2025,00227.000461/2024-11,PIAUIPREV,"Aquisição de equipamentos de Tecnologia da Informação - TI, para dar continuidade aos trabalhos de modernização, expansão e organização do parque tecnológico da Fundação Piauí Previdência - PIAUIPREV, no âmbito do Programa de Sustentabilidade Fiscal, Eficiência e Eficácia do Gasto Público do Estado do Piauí – PROGESTÃO PIAUÍ.",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Equipamentos de TIC,Contratação Direta (Dispensa),"R$ 925.395,52",SEAD,CONCLUÍDO,ACIMA 600 MIL,26/03/2025,APROVADO,"R$ 925.395,52",,,15/07/2025,Contratação de Pessoa Jurídica,12M,CG-083,DEPOIS DO COMITÊ,,,,,,,,EIXO TRANSVERSAL 3,,Materiais e Equipamentos de TIC,,,,,,,A DEFINIR,
,DCT73,28/01/2025,00012.025652/2024-01,SESAPI,"Contratação de empresa especializada em serviços de consultoria técnica para implantação (planejamento, parametrização, treinamento e operação assistida) de Sistema Integrado de Gestão Hospitalar, em 25 (vinte e cinco) Unidades de Saúde que compõe a rede estadual de assistência à saúde no Estado do Piauí, incluindo a transferência de know how para a equipe de sustentabilidade da SESAPI",CONSULTORIA E SERVIÇOS DE TIC,Serviços / Outros Serviços Especializados,Contratação Direta (Inexigibilidade),"R$ 6.000.000,00",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,17/06/2025,APROVADO,"R$ 6.000.000,00",,,,Contratação de Pessoa Jurídica,12M,CG-111,DEPOIS DO COMITÊ,,,,,,,,EIXO ESTRATÉGICO 2,,,Outros serviços técnicos especializados;,,,,,,A DEFINIR,
,DCT74,13/02/2025,00012.025075/2024-40,SESAPI,"Contratação de empresa especializada em telecomunicações, que possuam outorga da Agência Nacional de Telecomunicações-ANATEL, para prestação de serviços de Telefonia Fixa Comutada, na modalidade Local, Serviço Telefônico Comutado de Longa Distância Nacional – LDN e Longa Distância Internacional – LDI (tecnologia E1), originários de terminais fixos, para atender as demandas da Secretaria de Estado da Saúde do Piauí.",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Comunicação de dados,Adesão à Ata de Registro de Preços,"R$ 606.670,92",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,26/03/2025,APROVADO,"R$ 606.670,92",,"R$ 90.030,45",01/04/2025,Contratação de Pessoa Jurídica,12M,CG-111,DEPOIS DO COMITÊ,,AD REFERENDUM,,,NÃO,,,EIXO ESTRATÉGICO 2 ,,Comunicação de Dados,,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,,,,,A DEFINIR,
,DCT75,19/02/2025,00022.001983/2024-29,SECULT,Contratação de empresa especializada na prestação do serviço de locação de impressoras,CONSULTORIA E SERVIÇOS DE TIC,Serviços / Outsourcing de Impressão,Contratação Direta (Dispensa) - ETIPI,"R$ 229.788,00",ETIPI,CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,REJEITADO,,,,,ETIPI,12M,CG-141 ,DEPOIS DO COMITÊ,,,,,,,,EIXO TRANSVERSAL 3,,,Impressão e digitalização;,,,,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT75,25/02/2025,00002.003075/2024-16,SEAD,Contratação de empresa especializada em Desenvolvimento de Dashboard e Consultoria de Análise de Dados do Sistema Eletrônico de Informações – SEI do Governo do Estado do Piauí.,SISTEMA,Sistema Existente / Fábrica Software,Contratação Direta (Dispensa),"R$ 58.870,00",SEAD,CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 58.870,00",,,,Fábrica de Software,12M,NÃO,DEPOIS DO COMITÊ,,,,,,,,EIXO TRANSVERSAL 3,Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação),,,,finalizado,APROVADO,,,SEAD,
,DCT71,06/03/2025,00017.000422/2025-62,SEPLAN,"contratação de empresa para o fornecimento de equipamentos de informática (microcomputadores, monitores e filtros de linha) para a SEPLAN",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Equipamentos de TIC,"Operação de Crédito (BID, BIRD, etc)","R$ 578.297,89",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 578.297,89",,"R$ 551.564,00",08/05/2025,Contratação de Pessoa Jurídica,ÚNICA,CG-141 ,DEPOIS DO COMITÊ,,,,,,,,EIXO TRANSVERSAL 3,,Materiais e Equipamentos de TIC,,,,,,,,
,DCT73,06/03/2025,00015.000534/2025-33,GAMIL,Aquisição de 4 Transceptor Portátil Aeronáutico,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Outros Equipamentos,Adesão à Ata de Registro de Preços,"R$ 120.480,00",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 120.480,00",,,,Contratação de Pessoa Jurídica,12M,CG-171,DEPOIS DO COMITÊ,,,,,,,,EIXO ESTRATÉGICO 2 - Melhoria da qualidade dos serviços públicos,,"Materiais e Equipamentos de TIC, Infraestrutura de TIC",,,,,,,,
,DCT72,06/03/2025,00071.005402/2024-42,INTERPI,Contratação de pessoa jurídica especializada no fornecimento de aparelhos de informática do tipo tablet.,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Equipamentos de TIC,Contratação Direta (Dispensa),"R$ 119.550,00",SEAD,CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 119.550,00",,,não formalizado,Contratação de Pessoa Jurídica,12M,CG-141 ,DEPOIS DO COMITÊ,,,,,,,,,,"Materiais e Equipamentos de TIC, Infraestrutura de TIC",,,,,,,,
,DCT74,06/03/2025,00015.000442/2025-53,GAMIL,Aquisição de 08 (oito) microcomputadores do tipo tablet para atender às necessidades administrativas e operacionais do Gabinete Militar,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Equipamentos de TIC,Adesão à Ata de Registro de Preços,"R$ 24.720,00",SEAD,CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 24.720,00",,,,Contratação de Pessoa Jurídica,12M,CG-141 ,DEPOIS DO COMITÊ,,,,,,,,EIXO TRANSVERSAL 3,,"Materiais e Equipamentos de TIC, Infraestrutura de TIC",,,,,,,,
,DCT75,13/03/2025,00153.000094/2025-30,SETUR,Aquisições de equipamentos de informática por meio de Adesão a Ata de Registro de Preço,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Equipamentos de TIC,Adesão à Ata de Registro de Preços,"R$ 7.705,23",SEAD,CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 7.705,23",,,não formalizado,Contratação de Pessoa Jurídica,12M,NÃO,DEPOIS DO COMITÊ,,,,,,,,EIXO TRANSVERSAL 3 ,,"Materiais e Equipamentos de TIC, Infraestrutura de TIC",,,,,,,,
,DCT76,17/03/2025,00002.009021/2024-56,SEAD,"Contratação de serviços de natureza continuada para fornecimento de sistemas e suporte especializado em gestão tecnológica do eSocial, soluções na operacionalização, monitoramento e auditoria dos dados enviados para base de dados do eSocial","SISTEMA, CONSULTORIA E SERVIÇOS DE TIC",Sistema Existente/ Licença,Contratação Direta (Inexigibilidade),"R$ 7.142.200,00",SEAD,CONCLUÍDO,ACIMA 600 MIL,14/10/2025,APROVADO,,,,,Contratação de Pessoa Jurídica,12M,NÃO,DEPOIS DO COMITÊ,Gov pediu para ouvir mais gente. Encaminhar para Sefaz/CGE fazer uma avaliação de custos e viabilidade. Foi perguntado ao Sec Sead pq a Vobys não faz isso e ele explicou o motivo. ,,,,,,,EIXO TRANSVERSAL 3 ,Licença,,"Outras consultorias especializadas em TIC;, ""Consultoria em Análise de Dados, Aprendizado de Máquina e inteligência Artificial;""",,,,,,,
,DCT77,19/03/2025,00345.000528/2024-63,SERES,Adesão de Ata para compra de 2 TV smart,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Outros Equipamentos,Adesão à Ata de Registro de Preços,"R$ 7.280,00",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 7.280,00",,"R$ 7.280,00",14/03/2025,Contratação de Pessoa Jurídica,12M,CG-081,DEPOIS DO COMITÊ,,,,,,,,EIXO TRANSVERSAL 3 ,,"Materiais e Equipamentos de TIC, Infraestrutura de TIC",,,,,,,,
,DCT78,21/03/2025,00002.002300/2025-70,SEAD,Contratação da Piauí Link,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Comunicação de dados,Contratação Direta (Dispensa),"R$ 42.030.720,00",SEAD,CONCLUÍDO,ACIMA 600 MIL,26/03/2025,APROVADO,"R$ 42.030.720,00",,,,Contratação de Pessoa Jurídica,12M,NÃO,DEPOIS DO COMITÊ,,,,,,,,EIXO TRANSVERSAL 3 ,,Comunicação de Dados,,,,,,,,
,DCT79,25/03/2025,00089.026908/2024-04,UESPI,Aquisição de Maquina Termográfica para o laboratórios  do curso de educação física localizado no Núcleo de Biotecnologia e Biodiversidade,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Outros Equipamentos,Contratação Direta (Inexigibilidade),"R$ 89.625,99",SEAD,CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 89.625,99",,,não formalizado,Contratação de Pessoa Jurídica,12M,NÃO,DEPOIS DO COMITÊ,,,,,,,,NÃO,,Materiais e Equipamentos Diversos,,,,,,,,
,DCT83,26/03/2025,00240.000368/2024-21,SADA,"Contratação de solução tecnológica integrada de monitoramento digital, abrangendo o desenvolvimento, implantação e manutenção de sistema web e aplicativo mobile para a Secretaria da Assistência Técnica e Defesa Agropecuária do Piauí (SADA-PI), incluindo serviços de suporte técnico mensal, manutenção preventiva, corretiva e evolutiva, capacitação de usuários e entrega do código-fonte da solução.",SISTEMA,Novo Sistema / ETIPI,Contratação Direta (Dispensa) - ETIPI,"R$ 1.916.500,00",ETIPI,CONCLUÍDO,ACIMA 600 MIL,26/03/2025,APROVADO,"R$ 1.916.500,00",,,não formalizado,ETIPI,12M,NÃO,DEPOIS DO COMITÊ,,,,,,,,EIXO TRANSVERSAL 3,"Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação), Desenvolvimento (Novo Sistema)",,,,,,,,,
Vide observação.,DCT80,28/03/2025,00027.009359/2024-20,SSP,"Aquisição de equipamentos de informática, para implantação de unidades de serviços de coleta de digitais em recém-nascidos nas 15 maternidades estaduais, para emissão carteira de identidade nacional. ",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Outros Equipamentos,Contratação Direta (Inexigibilidade),"R$ 1.156.270,50",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,17/06/2025,APROVADO,"R$ 1.156.270,50",,"R$ 1.156.270,50",,Contratação de Pessoa Jurídica,12M,CG-171,DEPOIS DO COMITÊ,,"Foi criado processo com o mesmo objeto (00027.002293/2025-28) e enviado para aprovação. Na ocasião, registrou-se a redução do valor do equipamento, que passou de R$ 70.000,00 para R$ 59.000,00 (valores aproximados).
Processo foi devolvido  sem nova análise.",,,,,,EIXO ESTRATÉGICO 2,,"Materiais e Equipamentos de TIC, Materiais e Equipamentos Diversos",,,,,,,,
,DCT81,28/03/2025,00024.000456/2024-87,SASC,"a aquisição de equipamentos de informática e periféricos, para atender a nova sede da SASC/SUPERINTENDENCIAS",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Equipamentos de TIC,Contratação Direta (Dispensa),"R$ 56.463,58",SEAD,CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 56.463,58",,,,Contratação de Pessoa Jurídica,12M,?,DEPOIS DO COMITÊ,,,,,,,,Avançar em Políticas de Transformação Digital.,,Infraestrutura de TIC,,,,,,,,
,DCT84,28/03/2025,00110.000198/2024-60,FAPEPI,contratação de empresa especializada para a prestação mensal do Serviço Telefônico Fixo Comutado (STFC),INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Comunicação de dados,Adesão à Ata de Registro de Preços,"R$ 14.674,25",SEAD,CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 14.674,25",,,não formalizado,Contratação de Pessoa Jurídica,12M,CG-081,DEPOIS DO COMITÊ,,,,,,,,EIXO TRANSVERSAL 3,,Materiais e Equipamentos Diversos,,,,,,,,
,DCT85,01/04/2025,00012.011376/2024-96,SESAPI,"Contratação de uma plataforma de gestão de ativos, abrangendo o monitoramento de manutenções preventivas e corretivas, bem como a gestão de frota de veículos, para a Secretaria de Estado da Saúde do Piauí (SESAPI)",SISTEMA,Novo Sistema / ETIPI,Contratação Direta (Dispensa) - ETIPI,"R$ 2.453.000,00",SEAD,CONCLUÍDO,ACIMA 600 MIL,10/05/2024,APROVADO,"R$ 2.453.000,00",,"R$ 2.453.000,00",22/05/2025,ETIPI,12M,CG-111,DEPOIS DO COMITÊ,,,,,,,,EIXO ESTRATÉGICO 2,Desenvolvimento (Novo Sistema),,,,,,,,,
